name,medical_insurance,infectivity,therapy,cure_rate,treatment_cycle,throng,cost,online_to_buy_medicine
片吸虫病,否,有传染性,药物治疗,40%,1-3个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
肝炎双重感染,否,有传染性,药物治疗,60%,>120天(对于病毒性肝炎患者需...,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
桡骨茎突骨折,是,无传染性,中医药物治疗、西医药物治疗,外科手术治愈率约为85%,8-12周,所有人群,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
肝瘟,否,无传染性,中医药物治疗、西医药物治疗,95%,3-6月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
胫骨后唇骨折,否,无传染性,手术治疗、闭合复位、石膏固...,60%,1-2个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
小儿嗜血性流行性感冒杆菌脑膜炎,否,有传染性,药物治疗康复治疗,89.3%,14天,12岁以下儿童,市三甲医院约（10000——5000元）,健客大药房康德乐大药房阿康大药房
颈椎单侧及双侧小关节脱位,否,无传染性,中医药物治疗、西医药物治疗,70%,3个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
新生儿乙型肝炎,否,有传染性,病因治疗,1%(一般99%治愈成乙肝携带者),2-3月,新生儿,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
桡骨远端骨骺分离,是,无传染性,手术治疗、石膏固定、闭合复...,30%,10-30天,儿童、青少年,市三甲医院约（2000——8000元）,健客大药房康德乐大药房阿康大药房
真菌中毒症,否,无传染性,饮食治疗、药物治疗,50%,2个月,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
肝炎后综合征,是,有传染性,药物治疗,40%,30天,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
丁肝,是,有传染性,药物治疗,无法根治，对症治疗为主,终身间歇性治疗,HBV感染者,不同医院收费标准不一致，市三甲医院约（20000——50000元）,健客大药房康德乐大药房阿康大药房
肝结核,是,无传染性,药物治疗,40%,3个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
急性乙肝,否,有传染性,Null,Null,Null,中年多发,Null,健客大药房康德乐大药房阿康大药房
铜中毒引起的溶血性贫血,否,无传染性,药物治疗,40-60%,1-3年,所有人群,市三甲医院约20000--50000,健客大药房康德乐大药房阿康大药房
急性黄疸型肝炎,是,有传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
丙型肝炎病毒感染与肾小球肾炎,否,无传染性,药物治疗,经过治疗98%治愈,3-6月,所有人群,市三甲医院约5000-10000元,健客大药房康德乐大药房阿康大药房
肝炎,是,有传染性,疫苗、药物疗法,70%,1-3个月,所有人群,市三甲医院约（2000——4000元）,健客大药房康德乐大药房阿康大药房
新生儿肝炎,是,有传染性,Null,Null,Null,新生儿,Null,健客大药房康德乐大药房阿康大药房
金黄色葡萄球菌脑膜炎,否,无传染性,药物治疗,70%,1个月,所有人群,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
铅中毒引起的溶血性贫血,否,无传染性,药物治疗、中药治疗,30--50%,3--10周,所有人群,市三甲医院约10000--30000,健客大药房康德乐大药房阿康大药房
铍中毒,否,无传染性,药物治疗,65%-75%,3-6个月,从事相关工作的人,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
丙肝,是,有传染性,药物治疗,需要终身治疗，目前不能治愈,需要终身治疗,所有人群,不同医院收费标准不一致，市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
小儿一氧化碳中毒,否,无传染性,高压氧治疗,治愈率89%,治疗周期10天,婴幼儿,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
病毒性肝炎,是,有传染性,药物治疗,85%,3-6月,无特殊发病群体,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
甲肝,否,有传染性,药物治疗、支持疗法,100%,3-6周,所有人群,不同医院收费标准不一致，市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
登革出血热,是,有传染性,西药治疗,80%,4-8周,均可发病，儿童多见,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
烧伤脓毒症,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
颈椎椎体楔形压缩骨折,否,无传染性,手术治疗、药物治疗,50%,1-3个月,老年人群,市三甲医院约40000--100000,健客大药房康德乐大药房阿康大药房
创伤性肩关节后脱位,否,无传染性,手法复位、功能锻炼、中药、...,80%,2-4周,青壮年,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
复孔绦虫病,否,有传染性,Null,Null,Null,儿童,Null,健客大药房康德乐大药房阿康大药房
持续性枕横位难产,否,无传染性,手术治疗，胎头吸引,外科手术治愈率约为85%,4-8周,妊娠妇女,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
史密斯骨折,否,无传染性,牵引治疗、手术治疗,70%,3个月,多见于成年人,市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
肩胛颈及肩胛盂骨折,否,无传染性,中医药物治疗,80%,3个月,有外伤史的成年人,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
持续性枕后位难产,否,无传染性,手术治疗,90%,1-3天,产妇,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
小肠扭转,是,无传染性,手术治疗,80%,2-4月,青壮年,市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
螺菌病,否,有传染性,药物治疗,60%,2个月,所有人群,市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
老年休克,否,无传染性,药物治疗,75%-85%,4周,老年人,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
农药中毒所致的精神障碍,否,无传染性,药物治疗、心理治疗,30%,30天,农药中毒者,市三甲医院约（500——2000元）,健客大药房康德乐大药房阿康大药房
颈部勒伤,否,无传染性,手术治疗、药物治疗,50%,3-6周,所有人群,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
出血性休克和脑病综合征,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
妊娠性哮喘,否,无传染性,药物治疗,98%,Null,孕妇,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
工业中毒所致的精神障碍,否,无传染性,病因治疗、对症治疗,20--40%,1--3个月,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
溴氯菊酯中毒,否,无传染性,药物治疗、碱性液体清洗,80%,7--14天,所有人群,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
颠茄碱类植物药物中毒,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
千足虫灼伤,否,无传染性,对症治疗,60-70%,2-4周,接触到千足虫虫体破裂时两侧...,市三甲医院约（300——800元）,健客大药房康德乐大药房阿康大药房
小儿急性呼吸衰竭,否,无传染性,药物治疗、支持疗法,85%,1-2个月,儿童人群,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
医用药物中毒所致的精神障碍,否,无传染性,药物治疗,60%,2-4月,所有人群,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
非洲锥虫病,否,有传染性,药物治疗,75%,1-3个月,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
毒鱼刺伤,否,无传染性,中医药物治疗、西医药物治疗,85%,1-3个月,主要见于青年男性,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
创伤性肩关节前脱位,否,无传染性,Null,Null,Null,男性多见,Null,健客大药房康德乐大药房阿康大药房
外伤后脑膨出,否,无传染性,手术治疗、药物治疗,75%,Null,所有人群,市三甲医院约2-3万元,健客大药房康德乐大药房阿康大药房
瑞列绦虫病,否,有传染性,药物治疗,100%,Null,儿童人群,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
士的宁中毒,否,无传染性,洗胃导泻、药物治疗,50%,1-2周,所有人群,不同医院收费标准不一致，市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
新疆出血热,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
小儿肺炎链球菌脑膜炎,否,有传染性,药物治疗支持治疗,治愈率86%,治疗周期21天,婴儿,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
羊膜腔感染综合征,否,无传染性,药物治疗,85%,Null,孕产妇,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
高原适应不全症,否,无传染性,药物治疗,95%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
三环类抗忧郁药中毒,否,无传染性,药物治疗,60%,14--21天,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
强碱类中毒,否,无传染性,病因治疗,70%,4-8周,所有人群,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
颈部开放性损伤,否,无传染性,药物治疗，手术治疗,80%,7--10天,有外伤的患者,市三甲医院约(20000--50000元),健客大药房康德乐大药房阿康大药房
距骨骨折脱位,否,无传染性,复位术、手术治疗、牵引治疗,治愈率93%,治疗周期90天,为压缩挤压暴力所致者,市三甲医院约（5000——7000元）,健客大药房康德乐大药房阿康大药房
小儿砷中毒,否,无传染性,洗胃、药物治疗、血液透析,60-70%,4-8周,儿童,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
腹壁挫伤,是,无传染性,手术治疗,90%,7-14天,儿童和成年人多见,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
链杆菌病,否,无传染性,药物治疗,治愈率98%,治疗周期7天,所有人群,市三甲医院约2000-4000元,健客大药房康德乐大药房阿康大药房
水合氯醛中毒,否,无传染性,药物治疗,50%,1-3周,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
其他弧菌感染,否,有传染性,药物治疗,经过系统治疗后，99%能够治愈不再复发。,1周时间可以治愈。,所有人群,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
农药中毒性肾病,否,无传染性,洗胃、药物治疗,40%,1-3个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
中毒性紫癜,否,无传染性,病因治疗、对症治疗,90%,2-6周,所有人群,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
骨产道异常性难产,否,无传染性,剖宫产,50-80%,1-2个月,产妇,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
